name,drinkware,notes,ingredients,type,prep,flaming,served,garnish,wiki_page
Black Russian,old,,* 50ml (5 parts) Vodka * 20ml (2 parts) Coffee liqueur,cocktail,Pour the ingredients into the old fashioned glass filled with ice cubes. Stir gently.,,on the rocks,,Black Russian
Cuba Libre,12 oz. glass,garnish with a pineapple wedge and 3 cherries.,*120 mL Cola *50 mL White rum *10 mL Fresh lime juice,highball,Build all ingredients in a highball glass filled with ice. Garnish with lime wedge.,,on the rocks,lime wedge,Cuba Libre
Gin and tonic,Highball glass or rocks glass,,"Gin and tonic water, according to taste",,"In a glass filled with ice cubes, add gin and tonic.",,on the rocks,A slice or wedge of lime,Gin and tonic
Manhattan,cocktail,,*50ml rye or Canadian whisky *20ml Sweet red vermouth *Dash Angostura bitters *Maraschino cherry (Garnish),cocktail,"Stirred over ice, strained into a chilled glass, garnished, and served straight up.",,straight,cherry,Manhattan (cocktail)
Mojito,collins,,*4 cl (4 parts) White rum * 3 cl (3 parts) Fresh lime juice * 6 leaves of Mint * 2 teaspoons Sugar * Soda Water,cocktail,Mint sprigs muddled with sugar and lime juice. Rum added and topped with soda water. Garnished with sprig of mint leaves. Served with a straw.,,on the rocks,sprig of mint (Yerba buena in the original recipe),Mojito
Old Fashioned,old,,*4.5 cl Bourbon or Rye whiskey *2 dashes Angostura bitters *1 sugar cube *Few dashes plain water,cocktail,"Place sugar cube in old fashioned glass and saturate with bitters, add a dash of plain water. Muddle until dissolved.  Fill the glass with ice cubes and add whiskey.  Garnish with orange slice, and a cocktail cherry.",,on the rocks,* Orange slice * cocktail cherry,Old Fashioned
Piña Colada,poco,,*30 ml (one part) white rum *30 ml (one part) cream of coconut *90 ml (3 parts) pineapple juice,cocktail,"Mix with crushed ice until smooth. Pour into chilled glass, garnish and serve.",,blended,pineapple slice and maraschino cherry,Piña colada
Rob Roy,cocktail,,*45ml Scotch whisky *25ml Sweet vermouth *Dash Angostura bitters,cocktail,"Stirred over ice, strained into a chilled glass, garnished, and served straight up, or mixed in rocks glass, filled with ice.",,straight up or on the rocks,Maraschino cherry or lemon twist,Rob Roy (cocktail)
Screwdriver,highball,,*50 ml (1 part) vodka *100 ml (2 parts) orange juice,cocktail,Mix in a highball glass with ice. Garnish and serve.,,on the rocks,orange slice,Screwdriver (cocktail)
Tom Collins,collins,,*45ml (3 parts) Old Tom Gin *30ml (2 parts) freshly squeezed lemon juice *15ml (1 part) sugar syrup *60ml (4 parts) carbonated water to taste,Cocktail,"Mix the gin, lemon juice and sugar syrup in a tall glass with ice, top up with soda water, garnish and serve.",No,on the rocks,Lemon slice and maraschino cherry,Tom Collins
Mickey Slim,,DDT is not very soluble in water so only a small quantity will dissolve. DDT has been linked to numerous health problems in humans.,*One part gin *A pinch of DDT,cocktail,Stir the DDT into the gin and serve,,,,Mickey Slim
Cocksucking Cowboy,shot,,*one part cold Butterscotch Schnapps *two parts Baileys Irish Cream,layered,*Pour the butterscotch schnapps into the shot glass. *Carefully add the Bailey's. letting it float on top. *Serve.,,straight up,,Cocksucking Cowboy
Mai Tai,highball,,*40ml (8 parts) white rum *20ml (4 parts) dark rum *15ml (3 parts) orange curaçao *15ml (3 parts) Orgeat syrup *10ml (2 parts) fresh lime juice,cocktail,Shake all ingredients except the dark rum together in a mixer with ice. Strain into glass and float the dark rum onto the top. Garnish and serve with straw.,,on the rocks,pineapple spear and lime peel,Mai Tai
Fizz,,,,family,,,,,Gin Fizz
Margarita,margarita,,*35ml (7 parts) tequila *20ml (4 parts) Cointreau *15ml (3 parts) lime juice,mixed,,,on the rocks,"salt rimmed glass, lime slice",Margarita
Zombie,zombie,"Because of the high proof rum, this cocktail could be lit if desired.",*1 part white rum *1 part golden rum *1 part dark rum *1 part apricot brandy *1 part pineapple juice *½ part 151-proof rum *1 part lime juice,Cocktail,Mix ingredients other than the 151 in a shaker with ice. Pour into glass and top with the high-proof rum.,,on the rocks,Cherry,Zombie (cocktail)
Harvey Wallbanger,highball,,* 45ml (3 parts) Vodka * 15ml (1 part) Galliano * 90ml (6 parts) fresh orange juice,cocktail,"Stir the vodka and orange juice with ice in the glass, then float the Galliano on top. Garnish and serve.",,on the rocks,orange slice and maraschino cherry,Harvey Wallbanger
